module	monet_type	experiment_info	function_summary	term_id_GO_BP	term_id_KEGG	term_id_REAC	goslim_pir	genes
125	R1	e019_R1	release of cytochrome c from mitochondria / Apoptosis - multiple species / BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members	GO:0001836	KEGG:04215	REAC:R-HSA-111453	GO:0061024;GO:0065008;GO:0007005;GO:0050789;GO:0050896	ENSP00000216115;ENSP00000217182;ENSP00000227322;ENSP00000245903;ENSP00000250405;ENSP00000257572;ENSP00000260442;ENSP00000262187;ENSP00000266557;ENSP00000267953;ENSP00000293288;ENSP00000302564;ENSP00000306822;ENSP00000314132;ENSP00000318822;ENSP00000326119;ENSP00000329213;ENSP00000331901;ENSP00000339063;ENSP00000340648;ENSP00000357625;ENSP00000358022;ENSP00000363591;ENSP00000369897;ENSP00000376056;ENSP00000376943;ENSP00000381185;ENSP00000384924;ENSP00000404503;ENSP00000410059;ENSP00000468500;ENSP00000476767;ENSP00000477781
126	R1	e019_R1	N-terminal protein amino acid acetylation	GO:0006474	NA	NA	GO:0036211;GO:0051604	ENSP00000216127;ENSP00000223136;ENSP00000229239;ENSP00000240922;ENSP00000261745;ENSP00000280557;ENSP00000286794;ENSP00000295321;ENSP00000296543;ENSP00000300056;ENSP00000302037;ENSP00000304292;ENSP00000327124;ENSP00000332103;ENSP00000335636;ENSP00000342007;ENSP00000347184;ENSP00000354972;ENSP00000356465;ENSP00000358518;ENSP00000360365;ENSP00000368716;ENSP00000379057;ENSP00000384474;ENSP00000386759;ENSP00000403397;ENSP00000417763;ENSP00000448182;ENSP00000449089;ENSP00000452521
127	R1	e019_R1	actin-myosin filament sliding / Tight junction / RHO GTPases activate CIT	GO:0033275	KEGG:04530	REAC:R-HSA-5625900	GO:0032502;GO:0006936	ENSP00000216181;ENSP00000217652;ENSP00000226207;ENSP00000228841;ENSP00000245503;ENSP00000255381;ENSP00000279022;ENSP00000292169;ENSP00000307280;ENSP00000314724;ENSP00000325239;ENSP00000347507;ENSP00000353590;ENSP00000357705;ENSP00000379210;ENSP00000379616;ENSP00000384330;ENSP00000386041;ENSP00000404570;ENSP00000446955;ENSP00000450385;ENSP00000463559;ENSP00000470298
128	R1	e019_R1	formation of cytoplasmic translation initiation complex / Formation of the ternary complex, and subsequently, the 43S complex	GO:0001732	NA	REAC:R-HSA-72695	GO:0065003;GO:0006412	ENSP00000216190;ENSP00000216554;ENSP00000220849;ENSP00000223641;ENSP00000232905;ENSP00000243253;ENSP00000248342;ENSP00000253039;ENSP00000253108;ENSP00000256383;ENSP00000261868;ENSP00000266126;ENSP00000273783;ENSP00000298428;ENSP00000332604;ENSP00000337688;ENSP00000353575;ENSP00000354125;ENSP00000357998;ENSP00000358140;ENSP00000362688;ENSP00000364119;ENSP00000368927;ENSP00000370258;ENSP00000388337;ENSP00000394869;ENSP00000416250;ENSP00000417229;ENSP00000419449;ENSP00000429931;ENSP00000431800;ENSP00000436049;ENSP00000445077;ENSP00000485663
129	R1	e019_R1	receptor signaling pathway via JAK-STAT / JAK-STAT signaling pathway / Interleukin-9 signaling	GO:0007259	KEGG:04630	REAC:R-HSA-8985947	GO:0050789;GO:0050896	ENSP00000216218;ENSP00000229135;ENSP00000243346;ENSP00000244174;ENSP00000249636;ENSP00000264497;ENSP00000265404;ENSP00000274520;ENSP00000290219;ENSP00000293328;ENSP00000300134;ENSP00000311857;ENSP00000315768;ENSP00000338010;ENSP00000341208;ENSP00000343204;ENSP00000354394;ENSP00000356713;ENSP00000376134;ENSP00000380073;ENSP00000418194;ENSP00000465676
130	R1	e019_R1	response to interleukin-15 / JAK-STAT signaling pathway / Interleukin-2 signaling	GO:0070672	KEGG:04630	REAC:R-HSA-9020558	GO:0001816;GO:0002376;GO:0050789;GO:0050896;GO:0001775	ENSP00000216223;ENSP00000226730;ENSP00000231449;ENSP00000255409;ENSP00000260665;ENSP00000263851;ENSP00000276420;ENSP00000296545;ENSP00000304915;ENSP00000306157;ENSP00000325313;ENSP00000331504;ENSP00000339804;ENSP00000357905;ENSP00000360730;ENSP00000361004;ENSP00000361366;ENSP00000363318;ENSP00000365016;ENSP00000369293;ENSP00000379111;ENSP00000380421;ENSP00000383641;ENSP00000391676;ENSP00000450909
131	R1	e019_R1	protein modification by small protein conjugation / Nucleotide excision repair / Neddylation	GO:0032446	KEGG:03420	REAC:R-HSA-8951664	GO:0036211	ENSP00000216225;ENSP00000252050;ENSP00000264606;ENSP00000296785;ENSP00000303158;ENSP00000310686;ENSP00000359385;ENSP00000364589;ENSP00000384109;ENSP00000385636;ENSP00000438788;ENSP00000442318
132	R1	e019_R1	histone methylation / Transcriptional Regulation by E2F6	GO:0016571	NA	REAC:R-HSA-8953750	GO:0036211;GO:0016043	ENSP00000216237;ENSP00000253024;ENSP00000263381;ENSP00000271640;ENSP00000282032;ENSP00000287820;ENSP00000302100;ENSP00000304327;ENSP00000319169;ENSP00000336687;ENSP00000337008;ENSP00000351947;ENSP00000354660;ENSP00000358092;ENSP00000364678;ENSP00000384625;ENSP00000392028;ENSP00000417980;ENSP00000418259;ENSP00000433919;ENSP00000440440;ENSP00000451080;ENSP00000468785;ENSP00000473093
133	R1	e019_R1	histone H4 acetylation / HATs acetylate histones	GO:0043967	NA	REAC:R-HSA-3214847	GO:0036211;GO:0050789	ENSP00000216267;ENSP00000226319;ENSP00000244333;ENSP00000247843;ENSP00000254900;ENSP00000258484;ENSP00000259021;ENSP00000262518;ENSP00000263062;ENSP00000283882;ENSP00000287239;ENSP00000311827;ENSP00000312244;ENSP00000318352;ENSP00000320566;ENSP00000322142;ENSP00000331310;ENSP00000346464;ENSP00000350267;ENSP00000352925;ENSP00000354425;ENSP00000359518;ENSP00000361363;ENSP00000362166;ENSP00000373340;ENSP00000374213;ENSP00000376204;ENSP00000380024;ENSP00000380136;ENSP00000391490;ENSP00000394417;ENSP00000397552;ENSP00000462945;ENSP00000481850
134	R1	e019_R1	necroptotic process / Necroptosis / Regulation by c-FLIP	GO:0070266	KEGG:04217	REAC:R-HSA-3371378	GO:0050789;GO:0065009	ENSP00000216274;ENSP00000221132;ENSP00000241261;ENSP00000259808;ENSP00000276431;ENSP00000286186;ENSP00000293825;ENSP00000301838;ENSP00000308351;ENSP00000310263;ENSP00000312455;ENSP00000321951;ENSP00000326737;ENSP00000333919;ENSP00000341268;ENSP00000346921;ENSP00000347948;ENSP00000347979;ENSP00000349324;ENSP00000351273;ENSP00000356694;ENSP00000357906;ENSP00000358470;ENSP00000359013;ENSP00000360215;ENSP00000363157;ENSP00000367013;ENSP00000379457;ENSP00000469049;ENSP00000478179;ENSP00000480348
135	R1	e019_R1	mRNA 3'-end processing / mRNA surveillance pathway / Processing of Intronless Pre-mRNAs	GO:0031124	KEGG:03015	REAC:R-HSA-77595	GO:0006396	ENSP00000216277;ENSP00000216727;ENSP00000217109;ENSP00000238112;ENSP00000238714;ENSP00000245934;ENSP00000266679;ENSP00000284995;ENSP00000291386;ENSP00000292476;ENSP00000298281;ENSP00000298875;ENSP00000300291;ENSP00000315791;ENSP00000325377;ENSP00000327487;ENSP00000332444;ENSP00000336752;ENSP00000343900;ENSP00000345412;ENSP00000355299;ENSP00000362063;ENSP00000384700;ENSP00000397402;ENSP00000397563;ENSP00000434995;ENSP00000477715;ENSP00000484669
136	R1	e019_R1	histone H3-K4 methylation / Adherens junction / WNT mediated activation of DVL	GO:0051568	KEGG:04520	REAC:R-HSA-201688	GO:0036211;GO:0050789;GO:0016043	ENSP00000216297;ENSP00000217244;ENSP00000254250;ENSP00000262506;ENSP00000262519;ENSP00000278412;ENSP00000296953;ENSP00000297581;ENSP00000304689;ENSP00000309555;ENSP00000335677;ENSP00000342136;ENSP00000358120;ENSP00000362748;ENSP00000362824;ENSP00000365042;ENSP00000377747;ENSP00000378248;ENSP00000390475;ENSP00000406581;ENSP00000442788;ENSP00000442924;ENSP00000473553;ENSP00000483667
137	R1	e019_R1	histone deacetylation	GO:0016575	NA	NA	GO:0036211;GO:0016043	ENSP00000216330;ENSP00000216807;ENSP00000257915;ENSP00000262238;ENSP00000286523;ENSP00000323670;ENSP00000337976;ENSP00000338157;ENSP00000338629;ENSP00000349723;ENSP00000361705;ENSP00000362649;ENSP00000364597;ENSP00000376902;ENSP00000383820;ENSP00000399518;ENSP00000479904
138	R1	e019_R1	melanosome assembly / Lysosome / Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	GO:1903232	KEGG:04142	REAC:R-HSA-164938	GO:0051641;GO:0048753;GO:0051640;GO:0006810;GO:0022607;GO:0043473	ENSP00000216366;ENSP00000238855;ENSP00000250244;ENSP00000255194;ENSP00000261558;ENSP00000261842;ENSP00000263270;ENSP00000281419;ENSP00000292807;ENSP00000297562;ENSP00000312442;ENSP00000325369;ENSP00000327694;ENSP00000336666;ENSP00000338777;ENSP00000341737;ENSP00000345055;ENSP00000347408;ENSP00000347416;ENSP00000350199;ENSP00000351926;ENSP00000352603;ENSP00000358582;ENSP00000377148;ENSP00000379256;ENSP00000379891;ENSP00000386443;ENSP00000388996;ENSP00000391942;ENSP00000428787;ENSP00000440984;ENSP00000444957;ENSP00000454303;ENSP00000481750;ENSP00000482835;ENSP00000483453
139	R1	e019_R1	DNA synthesis involved in DNA repair / DNA replication / Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	GO:0000731	KEGG:03030	REAC:R-HSA-110313	GO:0009059;GO:0006260;GO:0006281	ENSP00000216367;ENSP00000220913;ENSP00000223129;ENSP00000235310;ENSP00000241436;ENSP00000258428;ENSP00000263274;ENSP00000263681;ENSP00000264159;ENSP00000265465;ENSP00000268124;ENSP00000276893;ENSP00000300035;ENSP00000307143;ENSP00000311368;ENSP00000321239;ENSP00000322570;ENSP00000351697;ENSP00000355471;ENSP00000361310;ENSP00000362131;ENSP00000363286;ENSP00000368349;ENSP00000368458;ENSP00000369335;ENSP00000406046;ENSP00000420176;ENSP00000420588;ENSP00000442563;ENSP00000462664;ENSP00000462963;ENSP00000465759;ENSP00000473233;ENSP00000480186
140	R1	e019_R1	protein folding	GO:0006457	NA	NA	GO:0006457	ENSP00000216479;ENSP00000252037;ENSP00000268876;ENSP00000279146;ENSP00000303754;ENSP00000319255;ENSP00000325120;ENSP00000331103;ENSP00000335153;ENSP00000360609;ENSP00000361900;ENSP00000364298;ENSP00000371278;ENSP00000377970;ENSP00000406463;ENSP00000407487;ENSP00000419184
141	R1	e019_R1	sphingoid biosynthetic process / Sphingolipid de novo biosynthesis	GO:0046520	NA	REAC:R-HSA-1660661	GO:0043603;GO:0006066;GO:0044255	ENSP00000216484;ENSP00000262554;ENSP00000298130;ENSP00000349689;ENSP00000350378;ENSP00000352097;ENSP00000377724;ENSP00000381968
142	R1	e019_R1	actin cytoskeleton organization	GO:0030036	NA	NA	GO:0006996	ENSP00000216487;ENSP00000253754;ENSP00000265944;ENSP00000283131;ENSP00000285735;ENSP00000291906;ENSP00000304283;ENSP00000311513;ENSP00000334563;ENSP00000335655;ENSP00000339299;ENSP00000344871;ENSP00000348349;ENSP00000352264;ENSP00000352834;ENSP00000358994;ENSP00000367059;ENSP00000370968;ENSP00000393392;ENSP00000413697
143	R1	e019_R1	positive regulation of fibrinolysis / Complement and coagulation cascades / Intrinsic Pathway of Fibrin Clot Formation	GO:0051919	KEGG:04610	REAC:R-HSA-140837	GO:0006811;GO:0050878;GO:0002376;GO:0050789;GO:0050896	ENSP00000216629;ENSP00000225275;ENSP00000225698;ENSP00000252244;ENSP00000253496;ENSP00000261024;ENSP00000264613;ENSP00000264690;ENSP00000265023;ENSP00000269576;ENSP00000278407;ENSP00000313967;ENSP00000314151;ENSP00000323929;ENSP00000326159;ENSP00000333203;ENSP00000342082;ENSP00000354612;ENSP00000354876;ENSP00000359098;ENSP00000363770;ENSP00000363773;ENSP00000364858;ENSP00000376793;ENSP00000384957;ENSP00000385035;ENSP00000416066;ENSP00000430620;ENSP00000438615;ENSP00000466090;ENSP00000471894;ENSP00000485444
144	R1	e019_R1	base-excision repair / Base excision repair / APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway	GO:0006284	KEGG:03410	REAC:R-HSA-5649702	GO:0006260;GO:0006281	ENSP00000216714;ENSP00000219302;ENSP00000244520;ENSP00000250416;ENSP00000262887;ENSP00000265421;ENSP00000271620;ENSP00000298139;ENSP00000305480;ENSP00000306561;ENSP00000323511;ENSP00000337060;ENSP00000337353;ENSP00000347170;ENSP00000351185;ENSP00000355759;ENSP00000358262;ENSP00000360869;ENSP00000360883;ENSP00000360891;ENSP00000361777;ENSP00000367787;ENSP00000370150;ENSP00000385269;ENSP00000401371;ENSP00000417864;ENSP00000440402
145	R1	e019_R1	negative regulation of stem cell population maintenance	GO:1902455	NA	NA	GO:0032502;GO:0050789;GO:0032501	ENSP00000216832;ENSP00000232165;ENSP00000240055;ENSP00000264183;ENSP00000264444;ENSP00000273062;ENSP00000296504;ENSP00000297109;ENSP00000297857;ENSP00000307023;ENSP00000307183;ENSP00000311816;ENSP00000327959;ENSP00000329933;ENSP00000337477;ENSP00000345702;ENSP00000347602;ENSP00000350333;ENSP00000364929;ENSP00000369131;ENSP00000378402;ENSP00000379412;ENSP00000382688;ENSP00000396052;ENSP00000396620;ENSP00000415243;ENSP00000443988;ENSP00000457723;ENSP00000462116;ENSP00000481842
146	R1	e019_R1	spindle organization / Nucleocytoplasmic transport	GO:0007051	KEGG:03013	NA	GO:0050789;GO:0006996	ENSP00000216911;ENSP00000234111;ENSP00000262713;ENSP00000262982;ENSP00000264313;ENSP00000281043;ENSP00000290158;ENSP00000300249;ENSP00000300403;ENSP00000313922;ENSP00000321703;ENSP00000324020;ENSP00000326550;ENSP00000337180;ENSP00000343701;ENSP00000345895;ENSP00000347444;ENSP00000358001;ENSP00000377298;ENSP00000432768;ENSP00000438483;ENSP00000463013;ENSP00000473381;ENSP00000479266
147	R1	e019_R1	Cellular senescence / Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	NA	KEGG:04218	REAC:R-HSA-1362300	GO:0050789	ENSP00000217026;ENSP00000222726;ENSP00000222728;ENSP00000234091;ENSP00000238558;ENSP00000239882;ENSP00000262133;ENSP00000262904;ENSP00000267163;ENSP00000272369;ENSP00000290295;ENSP00000291547;ENSP00000301159;ENSP00000303424;ENSP00000314129;ENSP00000329102;ENSP00000341947;ENSP00000343619;ENSP00000345571;ENSP00000351742;ENSP00000355140;ENSP00000355249;ENSP00000357175;ENSP00000362588;ENSP00000362768;ENSP00000364190;ENSP00000364519;ENSP00000368686;ENSP00000398124;ENSP00000405890;ENSP00000420616;ENSP00000421799;ENSP00000426359;ENSP00000439782;ENSP00000451812;ENSP00000453793
148	R1	e019_R1	endodermal cell fate specification / Transcriptional regulation of pluripotent stem cells	GO:0001714	NA	REAC:R-HSA-452723	GO:0032502	ENSP00000217086;ENSP00000229307;ENSP00000247182;ENSP00000252463;ENSP00000259915;ENSP00000262653;ENSP00000276594;ENSP00000297316;ENSP00000320171;ENSP00000323588;ENSP00000333640;ENSP00000342626;ENSP00000356825;ENSP00000398410;ENSP00000404100;ENSP00000422488;ENSP00000432770;ENSP00000482245
149	R1	e019_R1	microtubule-based process / Salmonella infection / Kinesins	GO:0007017	KEGG:05132	REAC:R-HSA-983189	GO:0006810;GO:0051641;GO:0007049;GO:0006996;GO:0051640;GO:0051261	ENSP00000217133;ENSP00000248437;ENSP00000259708;ENSP00000259818;ENSP00000264071;ENSP00000301071;ENSP00000301072;ENSP00000307078;ENSP00000318697;ENSP00000320295;ENSP00000333326;ENSP00000336799;ENSP00000339001;ENSP00000341289;ENSP00000342538;ENSP00000358894;ENSP00000359685;ENSP00000361298;ENSP00000366513;ENSP00000369703;ENSP00000385000;ENSP00000393379;ENSP00000396954;ENSP00000399403;ENSP00000407118;ENSP00000408979;ENSP00000410452;ENSP00000414982;ENSP00000438388;ENSP00000465992
150	R1	e019_R1	activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c / Apoptosis - multiple species / SMAC (DIABLO) binds to IAPs 	GO:0008635	KEGG:04215	REAC:R-HSA-111463	GO:0042445;GO:0044255;GO:0050789;GO:0006805;GO:0065009	ENSP00000217169;ENSP00000260270;ENSP00000268053;ENSP00000285930;ENSP00000304811;ENSP00000307786;ENSP00000330237;ENSP00000337915;ENSP00000341625;ENSP00000358903;ENSP00000360242;ENSP00000360372;ENSP00000379133;ENSP00000398495;ENSP00000412957;ENSP00000416515;ENSP00000417480;ENSP00000419970;ENSP00000440689;ENSP00000448165
151	R1	e019_R1	adiponectin-activated signaling pathway / Adipocytokine signaling pathway / CD28 dependent PI3K/Akt signaling	GO:0033211	KEGG:04920	REAC:R-HSA-389357	GO:0050789;GO:0050896;GO:0008643;GO:0044255	ENSP00000217233;ENSP00000243924;ENSP00000262461;ENSP00000263125;ENSP00000263826;ENSP00000264255;ENSP00000268613;ENSP00000288266;ENSP00000306906;ENSP00000319279;ENSP00000341292;ENSP00000341785;ENSP00000344220;ENSP00000348278;ENSP00000349616;ENSP00000354461;ENSP00000357804;ENSP00000359612;ENSP00000360154;ENSP00000362115;ENSP00000375892;ENSP00000380150;ENSP00000384570;ENSP00000385036;ENSP00000389814;ENSP00000446917;ENSP00000451828;ENSP00000458715
152	R1	e019_R1	corticotropin secretion / Neuroactive ligand-receptor interaction / Vasopressin-like receptors	GO:0051458	KEGG:04080	REAC:R-HSA-388479	GO:0046903;GO:0015833;GO:0009914;GO:0050886;GO:0050789	ENSP00000217386;ENSP00000273610;ENSP00000274368;ENSP00000276571;ENSP00000294954;ENSP00000296099;ENSP00000324270;ENSP00000340943;ENSP00000351805;ENSP00000352157;ENSP00000360538;ENSP00000363136;ENSP00000369647;ENSP00000369798;ENSP00000381333;ENSP00000394751;ENSP00000403701;ENSP00000408236;ENSP00000410402
153	R1	e019_R1	multivesicular body assembly / Endocytosis / Endosomal Sorting Complex Required For Transport (ESCRT)	GO:0036258	KEGG:04144	REAC:R-HSA-917729	GO:0061024;GO:0009057;GO:0007032;GO:0015031;GO:0006508;GO:0006914;GO:0016192;GO:0016032;GO:0022607;GO:0044419	ENSP00000217402;ENSP00000223500;ENSP00000238497;ENSP00000240361;ENSP00000251968;ENSP00000253794;ENSP00000254950;ENSP00000263780;ENSP00000265562;ENSP00000267202;ENSP00000289359;ENSP00000297265;ENSP00000297661;ENSP00000301765;ENSP00000317468;ENSP00000318629;ENSP00000320416;ENSP00000324205;ENSP00000324810;ENSP00000331201;ENSP00000343742;ENSP00000351155;ENSP00000354772;ENSP00000356602;ENSP00000360475;ENSP00000360540;ENSP00000366565;ENSP00000366746;ENSP00000367299;ENSP00000377633;ENSP00000380794;ENSP00000380998;ENSP00000384262;ENSP00000405575;ENSP00000411825;ENSP00000414147;ENSP00000421380;ENSP00000432279;ENSP00000438346;ENSP00000438399;ENSP00000469240;ENSP00000474823;ENSP00000480893
154	R1	e019_R1	post-translational protein targeting to endoplasmic reticulum membrane / Insertion of tail-anchored proteins into the endoplasmic reticulum membrane	GO:0006620	NA	REAC:R-HSA-9609523	GO:0015031	ENSP00000217420;ENSP00000218224;ENSP00000221566;ENSP00000261167;ENSP00000265857;ENSP00000269601;ENSP00000276914;ENSP00000292363;ENSP00000296464;ENSP00000297156;ENSP00000318687;ENSP00000327716;ENSP00000345575;ENSP00000350928;ENSP00000354111;ENSP00000355050;ENSP00000358674;ENSP00000365131;ENSP00000365437;ENSP00000370395;ENSP00000408411;ENSP00000432083;ENSP00000466379
155	R1	e019_R1	attachment of GPI anchor to protein / Glycosylphosphatidylinositol (GPI)-anchor biosynthesis / Attachment of GPI anchor to uPAR	GO:0016255	KEGG:00563	REAC:R-HSA-162791	GO:0036211;GO:0044255;GO:0009059;GO:0006793	ENSP00000217446;ENSP00000279036;ENSP00000309430;ENSP00000347206;ENSP00000359848
156	R1	e019_R1	SREBP signaling pathway / Regulation of cholesterol biosynthesis by SREBP (SREBF)	GO:0032933	NA	REAC:R-HSA-1655829	GO:0015031;GO:0009057;GO:0006508;GO:0050789;GO:0050896	ENSP00000217740;ENSP00000217971;ENSP00000238789;ENSP00000245787;ENSP00000261942;ENSP00000263202;ENSP00000265565;ENSP00000287936;ENSP00000331487;ENSP00000344741;ENSP00000345195;ENSP00000348069;ENSP00000354476;ENSP00000357292;ENSP00000357879;ENSP00000360034;ENSP00000383911
157	R1	e019_R1	Loss of MECP2 binding ability to the NCoR/SMRT complex	NA	NA	REAC:R-HSA-9022537	GO:0050789	ENSP00000217964;ENSP00000221996;ENSP00000229922;ENSP00000246672;ENSP00000257555;ENSP00000265354;ENSP00000268712;ENSP00000298159;ENSP00000299299;ENSP00000302967;ENSP00000303908;ENSP00000310880;ENSP00000329466;ENSP00000329880;ENSP00000333275;ENSP00000347847;ENSP00000350681;ENSP00000355645;ENSP00000362650;ENSP00000370104;ENSP00000395535;ENSP00000401678;ENSP00000405574;ENSP00000450527;ENSP00000454062;ENSP00000480291;ENSP00000482504
158	R1	e019_R1	mRNA export from nucleus / Transport of Mature mRNA derived from an Intron-Containing Transcript	GO:0006406	NA	REAC:R-HSA-159236	GO:0015931;GO:0051641	ENSP00000218004;ENSP00000229390;ENSP00000241502;ENSP00000242776;ENSP00000244020;ENSP00000245838;ENSP00000254998;ENSP00000258962;ENSP00000261600;ENSP00000265097;ENSP00000265388;ENSP00000295899;ENSP00000297071;ENSP00000325905;ENSP00000326261;ENSP00000326531;ENSP00000337632;ENSP00000339245;ENSP00000357679;ENSP00000359988;ENSP00000362820;ENSP00000362900;ENSP00000362931;ENSP00000362936;ENSP00000375863;ENSP00000376276;ENSP00000378504;ENSP00000379475;ENSP00000416959;ENSP00000420306;ENSP00000421592;ENSP00000426978;ENSP00000436679;ENSP00000438527;ENSP00000452123;ENSP00000480140;ENSP00000484645;ENSP00000485586
159	R1	e019_R1	receptor guanylyl cyclase signaling pathway / Phototransduction / Inactivation, recovery and regulation of the phototransduction cascade	GO:0007168	KEGG:04744	REAC:R-HSA-2514859	GO:0050877;GO:0050789	ENSP00000218006;ENSP00000230361;ENSP00000254854;ENSP00000261047;ENSP00000377784
160	R1	e019_R1	sister chromatid cohesion / Cell cycle / Cohesin Loading onto Chromatin	GO:0007062	KEGG:04110	REAC:R-HSA-2470946	GO:0036211;GO:0050789;GO:0051276;GO:0006281	ENSP00000218089;ENSP00000262815;ENSP00000264010;ENSP00000275517;ENSP00000282516;ENSP00000287437;ENSP00000297338;ENSP00000298767;ENSP00000303427;ENSP00000313851;ENSP00000318635;ENSP00000323421;ENSP00000330694;ENSP00000350036;ENSP00000350447;ENSP00000354720;ENSP00000354957;ENSP00000355077;ENSP00000358019;ENSP00000372689;ENSP00000386414;ENSP00000404092;ENSP00000435619;ENSP00000477973;ENSP00000482546
161	R1	e019_R1	peroxisomal membrane transport / Peroxisome / Class I peroxisomal membrane protein import	GO:0015919	KEGG:04146	REAC:R-HSA-9603798	GO:0006082;GO:0015031;GO:0006869;GO:0007031;GO:0015849;GO:0044255;GO:0050789	ENSP00000218104;ENSP00000241041;ENSP00000248633;ENSP00000274793;ENSP00000303511;ENSP00000309757;ENSP00000310688;ENSP00000331106;ENSP00000356563;ENSP00000357051;ENSP00000358312;ENSP00000359233;ENSP00000390722;ENSP00000439012;ENSP00000445002;ENSP00000466775;ENSP00000480053
162	R1	e019_R1	Bacterial invasion of epithelial cells / Post-chaperonin tubulin folding pathway	NA	KEGG:05100	REAC:R-HSA-389977	GO:0006457	ENSP00000218340;ENSP00000219204;ENSP00000221855;ENSP00000246747;ENSP00000256935;ENSP00000260746;ENSP00000266037;ENSP00000280333;ENSP00000287600;ENSP00000290246;ENSP00000300574;ENSP00000312185;ENSP00000318197;ENSP00000337040;ENSP00000338766;ENSP00000339467;ENSP00000342699;ENSP00000344942;ENSP00000347719;ENSP00000359264;ENSP00000360777;ENSP00000361202;ENSP00000361967;ENSP00000368759;ENSP00000377566;ENSP00000377769;ENSP00000391669;ENSP00000430945;ENSP00000439170
163	R1	e019_R1	lactate transport / Proton-coupled monocarboxylate transport	GO:0015727	NA	REAC:R-HSA-433692	GO:0022411;GO:0045229;GO:0043062;GO:0015849;GO:0050896	ENSP00000218388;ENSP00000219070;ENSP00000243077;ENSP00000261187;ENSP00000262768;ENSP00000265983;ENSP00000279441;ENSP00000299855;ENSP00000302289;ENSP00000308208;ENSP00000321735;ENSP00000322788;ENSP00000333769;ENSP00000334553;ENSP00000370527;ENSP00000378323;ENSP00000419425;ENSP00000441065;ENSP00000447730;ENSP00000463978
164	R1	e019_R1	sodium ion export across plasma membrane / Proximal tubule bicarbonate reclamation / Ion transport by P-type ATPases	GO:0036376	KEGG:04964	REAC:R-HSA-936837	GO:0050789;GO:0006811	ENSP00000218548;ENSP00000250111;ENSP00000286371;ENSP00000292079;ENSP00000354490;ENSP00000356790;ENSP00000444688;ENSP00000445306;ENSP00000481244
165	R1	e019_R1	muscle organ development / ECM-receptor interaction / Laminin interactions	GO:0007517	KEGG:04512	REAC:R-HSA-3000157	GO:0032502;GO:0006936;GO:0007155;GO:0016043	ENSP00000218867;ENSP00000230538;ENSP00000242729;ENSP00000250617;ENSP00000252999;ENSP00000258341;ENSP00000261007;ENSP00000262018;ENSP00000278568;ENSP00000295718;ENSP00000298854;ENSP00000303211;ENSP00000304290;ENSP00000314067;ENSP00000320434;ENSP00000324532;ENSP00000336775;ENSP00000338191;ENSP00000338343;ENSP00000344432;ENSP00000347464;ENSP00000353864;ENSP00000354360;ENSP00000354923;ENSP00000356515;ENSP00000363571;ENSP00000364893;ENSP00000367686;ENSP00000367888;ENSP00000368678;ENSP00000370839;ENSP00000373298;ENSP00000374145;ENSP00000375778;ENSP00000378965;ENSP00000379678;ENSP00000388325;ENSP00000398930;ENSP00000400365;ENSP00000429842;ENSP00000442600;ENSP00000452120;ENSP00000469413;ENSP00000470152
166	R1	e019_R1	G protein-coupled receptor signaling pathway / Chemokine signaling pathway / GPCR ligand binding	GO:0007186	KEGG:04062	REAC:R-HSA-500792	GO:0040011;GO:0002376;GO:0050789	ENSP00000219244;ENSP00000225842;ENSP00000251849;ENSP00000255882;ENSP00000259455;ENSP00000261313;ENSP00000262483;ENSP00000312262;ENSP00000326432;ENSP00000332659;ENSP00000336630;ENSP00000354859;ENSP00000357869;ENSP00000358513;ENSP00000359050;ENSP00000361458;ENSP00000361475;ENSP00000366233;ENSP00000378338;ENSP00000380638;ENSP00000384081;ENSP00000426548;ENSP00000431284;ENSP00000458832;ENSP00000479955
167	R1	e019_R1	establishment or maintenance of epithelial cell apical/basal polarity / Hippo signaling pathway	GO:0045197	KEGG:04390	NA	GO:0016070;GO:0043412	ENSP00000219255;ENSP00000263925;ENSP00000282007;ENSP00000295797;ENSP00000296641;ENSP00000297591;ENSP00000298717;ENSP00000309539;ENSP00000321537;ENSP00000321606;ENSP00000325929;ENSP00000328088;ENSP00000330221;ENSP00000331327;ENSP00000343144;ENSP00000343690;ENSP00000351141;ENSP00000358799;ENSP00000360672;ENSP00000363921;ENSP00000367830;ENSP00000373474;ENSP00000376333;ENSP00000401277;ENSP00000451300;ENSP00000454545
168	R1	e019_R1	positive regulation of transforming growth factor beta receptor signaling pathway / Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells	GO:0030511	NA	REAC:R-HSA-210744	GO:0050789	ENSP00000219431;ENSP00000258821;ENSP00000262367;ENSP00000263253;ENSP00000292599;ENSP00000302630;ENSP00000321835;ENSP00000325690;ENSP00000342307;ENSP00000345341;ENSP00000353863;ENSP00000361066;ENSP00000364912;ENSP00000366915;ENSP00000368924;ENSP00000370125;ENSP00000379441;ENSP00000381098;ENSP00000394390;ENSP00000401764;ENSP00000434552;ENSP00000444198;ENSP00000444896
